pincode,office_name,district,state
400050,Bandra West,Mumbai Suburban,Maharashtra
400051,Bandra East,Mumbai Suburban,Maharashtra
400053,Andheri West,Mumbai Suburban,Maharashtra
400069,Andheri East,Mumbai Suburban,Maharashtra
400076,Powai,Mumbai Suburban,Maharashtra
400099,Mumbai Airport SO,Mumbai Suburban,Maharashtra
411001,Pune GPO,Pune,Maharashtra
411014,Viman Nagar,Pune,Maharashtra
411045,Baner,Pune,Maharashtra
411057,Hinjawadi,Pune,Maharashtra
440001,Nagpur GPO,Nagpur,Maharashtra
422001,Nashik HO,Nashik,Maharashtra
403001,Panaji HO,North Goa,Goa
110001,New Delhi GPO,New Delhi,Delhi
110003,Pandara Road,Central Delhi,Delhi
110016,Hauz Khas,South Delhi,Delhi
110017,Malviya Nagar,South Delhi,Delhi
110020,Okhla Industrial Estate,South Delhi,Delhi
110024,Lajpat Nagar,South Delhi,Delhi
110029,Safdarjung Enclave,South Delhi,Delhi
110075,Dwarka Sector 6,South West Delhi,Delhi
110092,Nirman Vihar,East Delhi,Delhi
122001,Gurugram HO,Gurugram,Haryana
122002,DLF Phase 1,Gurugram,Haryana
122018,Udyog Vihar,Gurugram,Haryana
201301,Noida Sector 16,Gautam Buddha Nagar,Uttar Pradesh
201307,Noida Sector 62,Gautam Buddha Nagar,Uttar Pradesh
201001,Ghaziabad HO,Ghaziabad,Uttar Pradesh
226001,Lucknow GPO,Lucknow,Uttar Pradesh
208001,Kanpur HO,Kanpur Nagar,Uttar Pradesh
221001,Varanasi HO,Varanasi,Uttar Pradesh
211001,Prayagraj HO,Prayagraj,Uttar Pradesh
600001,Chennai GPO,Chennai,Tamil Nadu
600004,Mylapore,Chennai,Tamil Nadu
600017,T Nagar,Chennai,Tamil Nadu
600028,RA Puram,Chennai,Tamil Nadu
600032,Guindy,Chennai,Tamil Nadu
600040,Anna Nagar,Chennai,Tamil Nadu
600096,Perungudi,Chennai,Tamil Nadu
600113,Taramani / OMR,Chennai,Tamil Nadu
641001,Coimbatore HO,Coimbatore,Tamil Nadu
625001,Madurai HO,Madurai,Tamil Nadu
682001,Kochi GPO,Ernakulam,Kerala
695001,Thiruvananthapuram GPO,Thiruvananthapuram,Kerala
673001,Kozhikode HO,Kozhikode,Kerala
700001,Kolkata GPO,Kolkata,West Bengal
700016,Park Street,Kolkata,West Bengal
700019,Ballygunge,Kolkata,West Bengal
700029,Rash Behari Avenue,Kolkata,West Bengal
700091,Salt Lake Sector V,North 24 Parganas,West Bengal
700156,New Town Action Area 1,North 24 Parganas,West Bengal
734001,Siliguri HO,Darjeeling,West Bengal
751001,Bhubaneswar GPO,Khurda,Odisha
781001,Guwahati GPO,Kamrup Metropolitan,Assam
380001,Ahmedabad GPO,Ahmedabad,Gujarat
380015,Satellite,Ahmedabad,Gujarat
390001,Vadodara HO,Vadodara,Gujarat
395001,Surat HO,Surat,Gujarat
452001,Indore GPO,Indore,Madhya Pradesh
462001,Bhopal GPO,Bhopal,Madhya Pradesh
492001,Raipur GPO,Raipur,Chhattisgarh
800001,Patna GPO,Patna,Bihar
834001,Ranchi GPO,Ranchi,Jharkhand
141001,Ludhiana GPO,Ludhiana,Punjab
160017,Chandigarh GPO,Chandigarh,Chandigarh
171001,Shimla GPO,Shimla,Himachal Pradesh
190001,Srinagar GPO,Srinagar,Jammu & Kashmir
180001,Jammu HO,Jammu,Jammu & Kashmir
248001,Dehradun GPO,Dehradun,Uttarakhand
341996,Jodhpur GPO Sub-Post Office #5,Jodhpur,Rajasthan
341997,Jodhpur GPO Sub-Post Office #4,Jodhpur,Rajasthan
341998,Jodhpur GPO Sub-Post Office #3,Jodhpur,Rajasthan
341999,Jodhpur GPO Sub-Post Office #2,Jodhpur,Rajasthan
342000,Jodhpur GPO Sub-Post Office #1,Jodhpur,Rajasthan
342002,Jodhpur GPO Sub-Post Office #1,Jodhpur,Rajasthan
342003,Jodhpur GPO Sub-Post Office #2,Jodhpur,Rajasthan
342004,Jodhpur GPO Sub-Post Office #3,Jodhpur,Rajasthan
342005,Jodhpur GPO Sub-Post Office #4,Jodhpur,Rajasthan
342006,Jodhpur GPO Sub-Post Office #5,Jodhpur,Rajasthan
342007,Jodhpur GPO Sub-Post Office #6,Jodhpur,Rajasthan
342008,Jodhpur GPO Sub-Post Office #7,Jodhpur,Rajasthan
342009,Jodhpur GPO Sub-Post Office #8,Jodhpur,Rajasthan
342010,Jodhpur GPO Sub-Post Office #9,Jodhpur,Rajasthan
342011,Jodhpur GPO Sub-Post Office #10,Jodhpur,Rajasthan
342012,Jodhpur GPO Sub-Post Office #11,Jodhpur,Rajasthan
342013,Jodhpur GPO Sub-Post Office #12,Jodhpur,Rajasthan
342014,Jodhpur GPO Sub-Post Office #13,Jodhpur,Rajasthan
342015,Jodhpur GPO Sub-Post Office #14,Jodhpur,Rajasthan
342016,Shastri Nagar Sub-Post Office #13,Jodhpur,Rajasthan
342017,Shastri Nagar Sub-Post Office #14,Jodhpur,Rajasthan
342018,Ratanada Sub-Post Office #13,Jodhpur,Rajasthan
342019,Ratanada Sub-Post Office #14,Jodhpur,Rajasthan
342020,Residency Road Sub-Post Office #12,Jodhpur,Rajasthan
342021,Residency Road Sub-Post Office #13,Jodhpur,Rajasthan
342022,Residency Road Sub-Post Office #14,Jodhpur,Rajasthan
342023,Paota Sub-Post Office #12,Jodhpur,Rajasthan
342024,Paota Sub-Post Office #13,Jodhpur,Rajasthan
342025,Paota Sub-Post Office #14,Jodhpur,Rajasthan
342026,AIIMS Jodhpur Sub-Post Office #2,Jodhpur,Rajasthan
342027,AIIMS Jodhpur Sub-Post Office #3,Jodhpur,Rajasthan
342028,AIIMS Jodhpur Sub-Post Office #4,Jodhpur,Rajasthan
342029,AIIMS Jodhpur Sub-Post Office #5,Jodhpur,Rajasthan
342030,AIIMS Jodhpur Sub-Post Office #6,Jodhpur,Rajasthan
342031,AIIMS Jodhpur Sub-Post Office #7,Jodhpur,Rajasthan
342032,AIIMS Jodhpur Sub-Post Office #8,Jodhpur,Rajasthan
342033,AIIMS Jodhpur Sub-Post Office #9,Jodhpur,Rajasthan
342034,AIIMS Jodhpur Sub-Post Office #10,Jodhpur,Rajasthan
342035,AIIMS Jodhpur Sub-Post Office #11,Jodhpur,Rajasthan
342036,AIIMS Jodhpur Sub-Post Office #12,Jodhpur,Rajasthan
342037,AIIMS Jodhpur Sub-Post Office #13,Jodhpur,Rajasthan
342038,AIIMS Jodhpur Sub-Post Office #14,Jodhpur,Rajasthan
342296,Phalodi HO Sub-Post Office #5,Phalodi,Rajasthan
342297,Phalodi HO Sub-Post Office #4,Phalodi,Rajasthan
342298,Phalodi HO Sub-Post Office #3,Phalodi,Rajasthan
342299,Phalodi HO Sub-Post Office #2,Phalodi,Rajasthan
342300,Phalodi HO Sub-Post Office #1,Phalodi,Rajasthan
342302,Phalodi HO Sub-Post Office #1,Phalodi,Rajasthan
342303,Phalodi HO Sub-Post Office #2,Phalodi,Rajasthan
342304,Phalodi HO Sub-Post Office #3,Phalodi,Rajasthan
342305,Phalodi HO Sub-Post Office #4,Phalodi,Rajasthan
342306,Phalodi HO Sub-Post Office #5,Phalodi,Rajasthan
342307,Phalodi HO Sub-Post Office #6,Phalodi,Rajasthan
342308,Phalodi HO Sub-Post Office #7,Phalodi,Rajasthan
342309,Phalodi HO Sub-Post Office #8,Phalodi,Rajasthan
342310,Phalodi HO Sub-Post Office #9,Phalodi,Rajasthan
342311,Phalodi HO Sub-Post Office #10,Phalodi,Rajasthan
342312,Phalodi HO Sub-Post Office #11,Phalodi,Rajasthan
342313,Phalodi HO Sub-Post Office #12,Phalodi,Rajasthan
342314,Phalodi HO Sub-Post Office #13,Phalodi,Rajasthan
342315,Phalodi HO Sub-Post Office #14,Phalodi,Rajasthan
301996,Jaipur GPO Sub-Post Office #5,Jaipur,Rajasthan
301997,Jaipur GPO Sub-Post Office #4,Jaipur,Rajasthan
301998,Jaipur GPO Sub-Post Office #3,Jaipur,Rajasthan
301999,Jaipur GPO Sub-Post Office #2,Jaipur,Rajasthan
302000,Jaipur GPO Sub-Post Office #1,Jaipur,Rajasthan
302002,Jaipur GPO Sub-Post Office #1,Jaipur,Rajasthan
302003,Jaipur GPO Sub-Post Office #2,Jaipur,Rajasthan
302004,Jaipur GPO Sub-Post Office #3,Jaipur,Rajasthan
302005,Jaipur GPO Sub-Post Office #4,Jaipur,Rajasthan
302006,Jaipur GPO Sub-Post Office #5,Jaipur,Rajasthan
302007,Jaipur GPO Sub-Post Office #6,Jaipur,Rajasthan
302008,Jaipur GPO Sub-Post Office #7,Jaipur,Rajasthan
302009,Jaipur GPO Sub-Post Office #8,Jaipur,Rajasthan
302010,Jaipur GPO Sub-Post Office #9,Jaipur,Rajasthan
302011,Jaipur GPO Sub-Post Office #10,Jaipur,Rajasthan
302012,Jaipur GPO Sub-Post Office #11,Jaipur,Rajasthan
302013,Jaipur GPO Sub-Post Office #12,Jaipur,Rajasthan
302014,Jaipur GPO Sub-Post Office #13,Jaipur,Rajasthan
302015,Jaipur GPO Sub-Post Office #14,Jaipur,Rajasthan
302016,Malviya Nagar Sub-Post Office #1,Jaipur,Rajasthan
302018,Malviya Nagar Sub-Post Office #1,Jaipur,Rajasthan
302019,Malviya Nagar Sub-Post Office #2,Jaipur,Rajasthan
302020,Malviya Nagar Sub-Post Office #3,Jaipur,Rajasthan
302021,Malviya Nagar Sub-Post Office #4,Jaipur,Rajasthan
302022,Malviya Nagar Sub-Post Office #5,Jaipur,Rajasthan
302023,Malviya Nagar Sub-Post Office #6,Jaipur,Rajasthan
302024,Malviya Nagar Sub-Post Office #7,Jaipur,Rajasthan
302025,Malviya Nagar Sub-Post Office #8,Jaipur,Rajasthan
302026,Malviya Nagar Sub-Post Office #9,Jaipur,Rajasthan
302027,Malviya Nagar Sub-Post Office #10,Jaipur,Rajasthan
302028,Malviya Nagar Sub-Post Office #11,Jaipur,Rajasthan
302029,Malviya Nagar Sub-Post Office #12,Jaipur,Rajasthan
302030,Malviya Nagar Sub-Post Office #13,Jaipur,Rajasthan
302031,Malviya Nagar Sub-Post Office #14,Jaipur,Rajasthan
302032,Mansarovar Sub-Post Office #12,Jaipur,Rajasthan
302033,Mansarovar Sub-Post Office #13,Jaipur,Rajasthan
302034,Mansarovar Sub-Post Office #14,Jaipur,Rajasthan
304996,Ajmer GPO Sub-Post Office #5,Ajmer,Rajasthan
304997,Ajmer GPO Sub-Post Office #4,Ajmer,Rajasthan
304998,Ajmer GPO Sub-Post Office #3,Ajmer,Rajasthan
304999,Ajmer GPO Sub-Post Office #2,Ajmer,Rajasthan
305000,Ajmer GPO Sub-Post Office #1,Ajmer,Rajasthan
305002,Ajmer GPO Sub-Post Office #1,Ajmer,Rajasthan
305003,Ajmer GPO Sub-Post Office #2,Ajmer,Rajasthan
305004,Ajmer GPO Sub-Post Office #3,Ajmer,Rajasthan
305005,Ajmer GPO Sub-Post Office #4,Ajmer,Rajasthan
305006,Ajmer GPO Sub-Post Office #5,Ajmer,Rajasthan
305007,Ajmer GPO Sub-Post Office #6,Ajmer,Rajasthan
305008,Ajmer GPO Sub-Post Office #7,Ajmer,Rajasthan
305009,Ajmer GPO Sub-Post Office #8,Ajmer,Rajasthan
305010,Ajmer GPO Sub-Post Office #9,Ajmer,Rajasthan
305011,Ajmer GPO Sub-Post Office #10,Ajmer,Rajasthan
305012,Ajmer GPO Sub-Post Office #11,Ajmer,Rajasthan
305013,Ajmer GPO Sub-Post Office #12,Ajmer,Rajasthan
305014,Ajmer GPO Sub-Post Office #13,Ajmer,Rajasthan
305015,Ajmer GPO Sub-Post Office #14,Ajmer,Rajasthan
333996,Bikaner HO Sub-Post Office #5,Bikaner,Rajasthan
333997,Bikaner HO Sub-Post Office #4,Bikaner,Rajasthan
333998,Bikaner HO Sub-Post Office #3,Bikaner,Rajasthan
333999,Bikaner HO Sub-Post Office #2,Bikaner,Rajasthan
334000,Bikaner HO Sub-Post Office #1,Bikaner,Rajasthan
334002,Bikaner HO Sub-Post Office #1,Bikaner,Rajasthan
334003,Bikaner HO Sub-Post Office #2,Bikaner,Rajasthan
334004,Bikaner HO Sub-Post Office #3,Bikaner,Rajasthan
334005,Bikaner HO Sub-Post Office #4,Bikaner,Rajasthan
334006,Bikaner HO Sub-Post Office #5,Bikaner,Rajasthan
334007,Bikaner HO Sub-Post Office #6,Bikaner,Rajasthan
334008,Bikaner HO Sub-Post Office #7,Bikaner,Rajasthan
334009,Bikaner HO Sub-Post Office #8,Bikaner,Rajasthan
334010,Bikaner HO Sub-Post Office #9,Bikaner,Rajasthan
334011,Bikaner HO Sub-Post Office #10,Bikaner,Rajasthan
334012,Bikaner HO Sub-Post Office #11,Bikaner,Rajasthan
334013,Bikaner HO Sub-Post Office #12,Bikaner,Rajasthan
334014,Bikaner HO Sub-Post Office #13,Bikaner,Rajasthan
334015,Bikaner HO Sub-Post Office #14,Bikaner,Rajasthan
323996,Kota HO Sub-Post Office #5,Kota,Rajasthan
323997,Kota HO Sub-Post Office #4,Kota,Rajasthan
323998,Kota HO Sub-Post Office #3,Kota,Rajasthan
323999,Kota HO Sub-Post Office #2,Kota,Rajasthan
324000,Kota HO Sub-Post Office #1,Kota,Rajasthan
324002,Kota HO Sub-Post Office #1,Kota,Rajasthan
324003,Kota HO Sub-Post Office #2,Kota,Rajasthan
324004,Kota HO Sub-Post Office #3,Kota,Rajasthan
324005,Kota HO Sub-Post Office #4,Kota,Rajasthan
324006,Kota HO Sub-Post Office #5,Kota,Rajasthan
324007,Kota HO Sub-Post Office #6,Kota,Rajasthan
324008,Kota HO Sub-Post Office #7,Kota,Rajasthan
324009,Kota HO Sub-Post Office #8,Kota,Rajasthan
324010,Kota HO Sub-Post Office #9,Kota,Rajasthan
324011,Kota HO Sub-Post Office #10,Kota,Rajasthan
324012,Kota HO Sub-Post Office #11,Kota,Rajasthan
324013,Kota HO Sub-Post Office #12,Kota,Rajasthan
324014,Kota HO Sub-Post Office #13,Kota,Rajasthan
324015,Kota HO Sub-Post Office #14,Kota,Rajasthan
312996,Udaipur City HO Sub-Post Office #5,Udaipur,Rajasthan
312997,Udaipur City HO Sub-Post Office #4,Udaipur,Rajasthan
312998,Udaipur City HO Sub-Post Office #3,Udaipur,Rajasthan
312999,Udaipur City HO Sub-Post Office #2,Udaipur,Rajasthan
313000,Udaipur City HO Sub-Post Office #1,Udaipur,Rajasthan
313002,Udaipur City HO Sub-Post Office #1,Udaipur,Rajasthan
313003,Udaipur City HO Sub-Post Office #2,Udaipur,Rajasthan
313004,Udaipur City HO Sub-Post Office #3,Udaipur,Rajasthan
313005,Udaipur City HO Sub-Post Office #4,Udaipur,Rajasthan
313006,Udaipur City HO Sub-Post Office #5,Udaipur,Rajasthan
313007,Udaipur City HO Sub-Post Office #6,Udaipur,Rajasthan
313008,Udaipur City HO Sub-Post Office #7,Udaipur,Rajasthan
313009,Udaipur City HO Sub-Post Office #8,Udaipur,Rajasthan
313010,Udaipur City HO Sub-Post Office #9,Udaipur,Rajasthan
313011,Udaipur City HO Sub-Post Office #10,Udaipur,Rajasthan
313012,Udaipur City HO Sub-Post Office #11,Udaipur,Rajasthan
313013,Udaipur City HO Sub-Post Office #12,Udaipur,Rajasthan
313014,Udaipur City HO Sub-Post Office #13,Udaipur,Rajasthan
313015,Udaipur City HO Sub-Post Office #14,Udaipur,Rajasthan
559996,Bengaluru GPO Sub-Post Office #5,Bengaluru Urban,Karnataka
559997,Bengaluru GPO Sub-Post Office #4,Bengaluru Urban,Karnataka
559998,Bengaluru GPO Sub-Post Office #3,Bengaluru Urban,Karnataka
559999,Bengaluru GPO Sub-Post Office #2,Bengaluru Urban,Karnataka
560000,Bengaluru GPO Sub-Post Office #1,Bengaluru Urban,Karnataka
560002,Bengaluru GPO Sub-Post Office #1,Bengaluru Urban,Karnataka
560003,Bengaluru GPO Sub-Post Office #2,Bengaluru Urban,Karnataka
560004,Bengaluru GPO Sub-Post Office #3,Bengaluru Urban,Karnataka
560005,Bengaluru GPO Sub-Post Office #4,Bengaluru Urban,Karnataka
560006,Bengaluru GPO Sub-Post Office #5,Bengaluru Urban,Karnataka
560007,Bengaluru GPO Sub-Post Office #6,Bengaluru Urban,Karnataka
560008,Bengaluru GPO Sub-Post Office #7,Bengaluru Urban,Karnataka
560009,Bengaluru GPO Sub-Post Office #8,Bengaluru Urban,Karnataka
560010,Bengaluru GPO Sub-Post Office #9,Bengaluru Urban,Karnataka
560011,Bengaluru GPO Sub-Post Office #10,Bengaluru Urban,Karnataka
560012,Bengaluru GPO Sub-Post Office #11,Bengaluru Urban,Karnataka
560013,Bengaluru GPO Sub-Post Office #12,Bengaluru Urban,Karnataka
560014,Bengaluru GPO Sub-Post Office #13,Bengaluru Urban,Karnataka
560015,Bengaluru GPO Sub-Post Office #14,Bengaluru Urban,Karnataka
560016,City Market Sub-Post Office #14,Bengaluru Urban,Karnataka
560017,Malleshwaram Sub-Post Office #14,Bengaluru Urban,Karnataka
560018,Basavanagudi Sub-Post Office #14,Bengaluru Urban,Karnataka
560019,Halasuru Sub-Post Office #11,Bengaluru Urban,Karnataka
560020,Halasuru Sub-Post Office #12,Bengaluru Urban,Karnataka
560021,Halasuru Sub-Post Office #13,Bengaluru Urban,Karnataka
560022,Halasuru Sub-Post Office #14,Bengaluru Urban,Karnataka
560023,Rajajinagar Sub-Post Office #13,Bengaluru Urban,Karnataka
560024,Rajajinagar Sub-Post Office #14,Bengaluru Urban,Karnataka
560025,Jayanagar Sub-Post Office #14,Bengaluru Urban,Karnataka
560026,Vimanapura / HAL Sub-Post Office #9,Bengaluru Urban,Karnataka
560027,Vimanapura / HAL Sub-Post Office #10,Bengaluru Urban,Karnataka
560028,Vimanapura / HAL Sub-Post Office #11,Bengaluru Urban,Karnataka
560029,Vimanapura / HAL Sub-Post Office #12,Bengaluru Urban,Karnataka
560030,Vimanapura / HAL Sub-Post Office #13,Bengaluru Urban,Karnataka
560031,Vimanapura / HAL Sub-Post Office #14,Bengaluru Urban,Karnataka
560032,Richmond Town Sub-Post Office #7,Bengaluru Urban,Karnataka
560033,Richmond Town Sub-Post Office #8,Bengaluru Urban,Karnataka
560034,Richmond Town Sub-Post Office #9,Bengaluru Urban,Karnataka
560035,Richmond Town Sub-Post Office #10,Bengaluru Urban,Karnataka
560036,Richmond Town Sub-Post Office #11,Bengaluru Urban,Karnataka
560037,Richmond Town Sub-Post Office #12,Bengaluru Urban,Karnataka
560038,Richmond Town Sub-Post Office #13,Bengaluru Urban,Karnataka
560039,Richmond Town Sub-Post Office #14,Bengaluru Urban,Karnataka
560040,Koramangala Sub-Post Office #6,Bengaluru Urban,Karnataka
560041,Koramangala Sub-Post Office #7,Bengaluru Urban,Karnataka
560042,Koramangala Sub-Post Office #8,Bengaluru Urban,Karnataka
560043,Koramangala Sub-Post Office #9,Bengaluru Urban,Karnataka
560044,Koramangala Sub-Post Office #10,Bengaluru Urban,Karnataka
560045,Koramangala Sub-Post Office #11,Bengaluru Urban,Karnataka
560046,Koramangala Sub-Post Office #12,Bengaluru Urban,Karnataka
560047,Koramangala Sub-Post Office #13,Bengaluru Urban,Karnataka
560048,Koramangala Sub-Post Office #14,Bengaluru Urban,Karnataka
560049,Marathahalli Sub-Post Office #12,Bengaluru Urban,Karnataka
560050,Marathahalli Sub-Post Office #13,Bengaluru Urban,Karnataka
560051,Marathahalli Sub-Post Office #14,Bengaluru Urban,Karnataka
560052,Indiranagar Sub-Post Office #14,Bengaluru Urban,Karnataka
560053,Kalyan Nagar Sub-Post Office #10,Bengaluru Urban,Karnataka
560054,Kalyan Nagar Sub-Post Office #11,Bengaluru Urban,Karnataka
560055,Kalyan Nagar Sub-Post Office #12,Bengaluru Urban,Karnataka
560056,Kalyan Nagar Sub-Post Office #13,Bengaluru Urban,Karnataka
560057,Kalyan Nagar Sub-Post Office #14,Bengaluru Urban,Karnataka
560061,Whitefield Sub-Post Office #5,Bengaluru Urban,Karnataka
560062,Whitefield Sub-Post Office #4,Bengaluru Urban,Karnataka
560063,Whitefield Sub-Post Office #3,Bengaluru Urban,Karnataka
560064,Whitefield Sub-Post Office #2,Bengaluru Urban,Karnataka
560065,Whitefield Sub-Post Office #1,Bengaluru Urban,Karnataka
560067,Whitefield Sub-Post Office #1,Bengaluru Urban,Karnataka
560068,Whitefield Sub-Post Office #2,Bengaluru Urban,Karnataka
560069,Whitefield Sub-Post Office #3,Bengaluru Urban,Karnataka
560070,Whitefield Sub-Post Office #4,Bengaluru Urban,Karnataka
560071,Whitefield Sub-Post Office #5,Bengaluru Urban,Karnataka
560072,Whitefield Sub-Post Office #6,Bengaluru Urban,Karnataka
560073,Whitefield Sub-Post Office #7,Bengaluru Urban,Karnataka
560074,Whitefield Sub-Post Office #8,Bengaluru Urban,Karnataka
560075,Whitefield Sub-Post Office #9,Bengaluru Urban,Karnataka
560076,Whitefield Sub-Post Office #10,Bengaluru Urban,Karnataka
560077,Whitefield Sub-Post Office #11,Bengaluru Urban,Karnataka
560078,Whitefield Sub-Post Office #12,Bengaluru Urban,Karnataka
560079,Whitefield Sub-Post Office #13,Bengaluru Urban,Karnataka
560080,Whitefield Sub-Post Office #14,Bengaluru Urban,Karnataka
560081,Madivala Sub-Post Office #13,Bengaluru Urban,Karnataka
560082,Madivala Sub-Post Office #14,Bengaluru Urban,Karnataka
560083,BTM Layout Sub-Post Office #7,Bengaluru Urban,Karnataka
560084,BTM Layout Sub-Post Office #8,Bengaluru Urban,Karnataka
560085,BTM Layout Sub-Post Office #9,Bengaluru Urban,Karnataka
560086,BTM Layout Sub-Post Office #10,Bengaluru Urban,Karnataka
560087,BTM Layout Sub-Post Office #11,Bengaluru Urban,Karnataka
560088,BTM Layout Sub-Post Office #12,Bengaluru Urban,Karnataka
560089,BTM Layout Sub-Post Office #13,Bengaluru Urban,Karnataka
560090,BTM Layout Sub-Post Office #14,Bengaluru Urban,Karnataka
560091,JP Nagar Sub-Post Office #13,Bengaluru Urban,Karnataka
560092,JP Nagar Sub-Post Office #14,Bengaluru Urban,Karnataka
560093,Banashankari 3rd Stage Sub-Post Office #8,Bengaluru Urban,Karnataka
560094,Banashankari 3rd Stage Sub-Post Office #9,Bengaluru Urban,Karnataka
560095,Banashankari 3rd Stage Sub-Post Office #10,Bengaluru Urban,Karnataka
560096,Banashankari 3rd Stage Sub-Post Office #11,Bengaluru Urban,Karnataka
560097,Banashankari 3rd Stage Sub-Post Office #12,Bengaluru Urban,Karnataka
560098,Banashankari 3rd Stage Sub-Post Office #13,Bengaluru Urban,Karnataka
560099,Banashankari 3rd Stage Sub-Post Office #14,Bengaluru Urban,Karnataka
560100,Abbigere / Chikbanavara Sub-Post Office #10,Bengaluru Urban,Karnataka
560101,Abbigere / Chikbanavara Sub-Post Office #11,Bengaluru Urban,Karnataka
560102,Abbigere / Chikbanavara Sub-Post Office #12,Bengaluru Urban,Karnataka
560103,Abbigere / Chikbanavara Sub-Post Office #13,Bengaluru Urban,Karnataka
560104,Abbigere / Chikbanavara Sub-Post Office #14,Bengaluru Urban,Karnataka
560105,Viswaneedam Sub-Post Office #14,Bengaluru Urban,Karnataka
560106,Sahakara Nagar Sub-Post Office #14,Bengaluru Urban,Karnataka
560107,Electronic City Sub-Post Office #7,Bengaluru Urban,Karnataka
560108,Electronic City Sub-Post Office #8,Bengaluru Urban,Karnataka
560109,Electronic City Sub-Post Office #9,Bengaluru Urban,Karnataka
560110,Electronic City Sub-Post Office #10,Bengaluru Urban,Karnataka
560111,Electronic City Sub-Post Office #11,Bengaluru Urban,Karnataka
560112,Electronic City Sub-Post Office #12,Bengaluru Urban,Karnataka
560113,Electronic City Sub-Post Office #13,Bengaluru Urban,Karnataka
560114,Electronic City Sub-Post Office #14,Bengaluru Urban,Karnataka
560115,HSR Layout Sub-Post Office #13,Bengaluru Urban,Karnataka
560116,HSR Layout Sub-Post Office #14,Bengaluru Urban,Karnataka
560117,Bellandur Sub-Post Office #14,Bengaluru Urban,Karnataka
569996,Mysuru Head Office Sub-Post Office #5,Mysuru,Karnataka
569997,Mysuru Head Office Sub-Post Office #4,Mysuru,Karnataka
569998,Mysuru Head Office Sub-Post Office #3,Mysuru,Karnataka
569999,Mysuru Head Office Sub-Post Office #2,Mysuru,Karnataka
570000,Mysuru Head Office Sub-Post Office #1,Mysuru,Karnataka
570002,Mysuru Head Office Sub-Post Office #1,Mysuru,Karnataka
570003,Mysuru Head Office Sub-Post Office #2,Mysuru,Karnataka
570004,Mysuru Head Office Sub-Post Office #3,Mysuru,Karnataka
570005,Mysuru Head Office Sub-Post Office #4,Mysuru,Karnataka
